match_id,team,xg_for,xg_against
3825848,Levante UD,0.735,0.986
3825848,Eibar,0.986,0.735
3825895,Las Palmas,1.076,1.783
3825895,Sevilla,1.783,1.076
3825894,RC Deportivo La Coruña,0.661,0.852
3825894,Getafe,0.852,0.661
3825855,Málaga,2.414,1.801
3825855,Levante UD,1.801,2.414
3825908,Espanyol,2.167,2.113
3825908,Eibar,2.113,2.167
3825883,Málaga,2.173,1.679
3825883,Las Palmas,1.679,2.173
3825900,Sporting Gijón,1.717,0.703
3825900,Villarreal,0.703,1.717
3825902,Rayo Vallecano,1.856,1.603
3825902,Levante UD,1.603,1.856
3825876,Real Betis,1.704,1.39
3825876,Getafe,1.39,1.704
3825846,RC Deportivo La Coruña,0.812,1.835
3825846,Real Madrid,1.835,0.812
3825869,Athletic Club,1.83,1.235
3825869,Sevilla,1.235,1.83
3825882,Atlético Madrid,1.368,0.455
3825882,Celta Vigo,0.455,1.368
3825849,Valencia,0.807,1.04
3825849,Real Sociedad,1.04,0.807
3825860,Levante UD,0.825,1.487
3825860,Atlético Madrid,1.487,0.825
3825847,Eibar,0.559,0.391
3825847,RC Deportivo La Coruña,0.391,0.559
3825817,Getafe,0.673,2.756
3825817,Eibar,2.756,0.673
3825778,Real Betis,1.582,0.233
3825778,Sporting Gijón,0.233,1.582
3825777,Levante UD,1.874,1.741
3825777,Getafe,1.741,1.874
3825740,Eibar,1.714,0.964
3825740,Granada,0.964,1.714
3825875,Villarreal,0.497,0.639
3825875,Real Sociedad,0.639,0.497
3825884,Sevilla,1.054,0.296
3825884,Real Betis,0.296,1.054
3825842,Levante UD,0.741,1.157
3825842,Athletic Club,1.157,0.741
3825890,Atlético Madrid,1.322,0.163
3825890,Málaga,0.163,1.322
3825871,Las Palmas,1.133,1.888
3825871,Espanyol,1.888,1.133
3825896,Granada,3.093,1.04
3825896,Levante UD,1.04,3.093
3825841,Real Sociedad,0.946,1.309
3825841,Getafe,1.309,0.946
3825843,Málaga,0.988,0.713
3825843,Rayo Vallecano,0.713,0.988
3825839,Sporting Gijón,1.564,1.802
3825839,Sevilla,1.802,1.564
3825838,Athletic Club,0.607,0.909
3825838,Atlético Madrid,0.909,0.607
3825840,Valencia,2.655,0.874
3825840,Eibar,0.874,2.655
3825837,Real Betis,2.237,0.103
3825837,Las Palmas,0.103,2.237
3825836,Rayo Vallecano,1.173,0.583
3825836,Villarreal,0.583,1.173
3825835,Málaga,2.0,0.884
3825835,Athletic Club,0.884,2.0
3825834,Atlético Madrid,1.648,0.669
3825834,Granada,0.669,1.648
3825906,Sevilla,1.741,0.665
3825906,RC Deportivo La Coruña,0.665,1.741
3825897,Eibar,1.176,0.619
3825897,Real Sociedad,0.619,1.176
3825889,Celta Vigo,2.087,1.366
3825889,Real Betis,1.366,2.087
3825833,Getafe,0.699,3.116
3825833,Real Madrid,3.116,0.699
3825857,Levante UD,0.835,1.165
3825857,Espanyol,1.165,0.835
3825863,RC Deportivo La Coruña,2.061,1.551
3825863,Las Palmas,1.551,2.061
3825829,Athletic Club,0.926,1.481
3825829,Rayo Vallecano,1.481,0.926
3825830,Villarreal,1.78,0.99
3825830,Getafe,0.99,1.78
3825832,Sporting Gijón,0.591,0.98
3825832,Celta Vigo,0.98,0.591
3825831,Valencia,1.724,0.954
3825831,Sevilla,0.954,1.724
3825828,Espanyol,0.739,0.961
3825828,Atlético Madrid,0.961,0.739
3825827,Real Betis,0.396,0.96
3825827,Levante UD,0.96,0.396
3825826,Granada,0.774,0.901
3825826,Málaga,0.901,0.774
3825825,Levante UD,1.394,1.032
3825825,Sporting Gijón,1.032,1.394
3825824,Eibar,0.635,2.411
3825824,Villarreal,2.411,0.635
3825823,Sevilla,2.146,0.308
3825823,Real Sociedad,0.308,2.146
3825905,Málaga,1.312,0.282
3825905,Espanyol,0.282,1.312
3825822,Las Palmas,1.971,1.157
3825822,Valencia,1.157,1.971
3825821,Espanyol,1.723,1.12
3825821,Athletic Club,1.12,1.723
3825820,Real Madrid,4.317,1.292
3825820,Sevilla,1.292,4.317
3825819,Valencia,0.993,2.727
3825819,Celta Vigo,2.727,0.993
3825818,Real Sociedad,0.804,1.498
3825818,Las Palmas,1.498,0.804
3825887,Granada,1.364,1.785
3825887,Rayo Vallecano,1.785,1.364
3825907,Sporting Gijón,1.919,0.309
3825907,Atlético Madrid,0.309,1.919
3825903,Real Betis,1.199,0.858
3825903,Málaga,0.858,1.199
3825816,Sevilla,3.896,1.341
3825816,Villarreal,1.341,3.896
3825815,Levante UD,0.99,0.732
3825815,Valencia,0.732,0.99
3825858,Rayo Vallecano,1.298,0.819
3825858,Eibar,0.819,1.298
3825813,Atlético Madrid,2.045,0.441
3825813,RC Deportivo La Coruña,0.441,2.045
3825814,Celta Vigo,0.396,0.745
3825814,Real Sociedad,0.745,0.396
3825812,Málaga,0.449,0.869
3825812,Sporting Gijón,0.869,0.449
3825811,Espanyol,1.674,0.232
3825811,Rayo Vallecano,0.232,1.674
3825807,Valencia,0.497,1.994
3825807,Atlético Madrid,1.994,0.497
3825809,Real Betis,0.661,0.431
3825809,Granada,0.431,0.661
3825810,Real Sociedad,1.651,0.302
3825810,Levante UD,0.302,1.651
